Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
232559,Stochastic Calculus Models for Finance II: Continuous Time Models (Springer Finance),Steven E. Shreve,"Shreve, Steven E.",,"=""0387401016""","=""9780387401010""",0,4.44,Springer,Hardcover,569,2004,2004,,2024/05/22,,,read,,,,1,0
823064,Disquisitiones Arithmeticae,Carl Friedrich Gauß,"Gauß, Carl Friedrich",,"=""0387962549""","=""9780387962542""",0,4.55,Springer,Hardcover,492,1986,1801,,2024/05/22,to-read,to-read (#56),to-read,,,,0,0
24755258,On Computable Numbers,Alan M. Turing,"Turing, Alan M.",,"=""""","=""""",0,4.36,,Kindle Edition,39,2015,2015,,2024/05/20,to-read,to-read (#55),to-read,,,,0,0
13642710,"Nexus (Nexus, #1)",Ramez Naam,"Naam, Ramez",ARGH! Oxford,"=""0857662937""","=""9780857662934""",0,4.04,Angry Robot,Paperback,460,2012,2012,,2024/05/20,to-read,to-read (#54),to-read,,,,0,0
358880,The Computer and the Brain,John von Neumann,"Neumann, John von","Paul M. Churchland, Patricia S. Churchland","=""0300084730""","=""9780300084733""",0,3.89,Yale University Press,Paperback,112,2000,1958,,2024/05/18,to-read,to-read (#53),to-read,,,,0,0
8091703,Stanger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0848805224""","=""9780848805227""",0,3.92,Amereon Limited,Hardcover,655,1991,1961,,2024/05/14,to-read,to-read (#52),to-read,,,,0,0
699910,Introduction to Analysis of the Infinite: Book II,Leonhard Euler,"Euler, Leonhard",,"=""0387971327""","=""9780387971322""",0,4.67,Springer,Hardcover,516,1989,1945,,2024/05/13,to-read,to-read (#51),to-read,,,,0,0
1929234,Introduction to Analysis of the Infinite: Book I,Leonhard Euler,"Euler, Leonhard",,"=""0387968245""","=""9780387968247""",0,4.27,Springer,Hardcover,342,1988,1921,,2024/05/13,to-read,to-read (#50),to-read,,,,0,0
3745735,A Discourse on the Method,René Descartes,"Descartes, René",Ian Maclean,"=""0199540071""","=""9780199540075""",0,3.72,Oxford University Press,Paperback,160,2008,1637,,2024/05/11,to-read,to-read (#49),to-read,,,,0,0
80311,A Treatise of Human Nature,David Hume,"Hume, David",,"=""1406927554""","=""9781406927559""",0,3.94,Hard Press,Paperback,434,2006,1739,,2024/05/11,to-read,to-read (#48),to-read,,,,0,0
130119,An Enquiry Concerning Human Understanding,David Hume,"Hume, David",,"=""1420926993""","=""9781420926996""",0,3.94,Digireads.Com,Paperback,96,2006,1748,,2024/05/11,to-read,to-read (#47),to-read,,,,0,0
1053068,The Case Worker,George Konrád,"Konrád, George",Paul Aston,"=""0140099468""","=""9780140099461""",0,4.08,Penguin Books,Paperback,192,1987,1969,,2024/05/10,to-read,to-read (#46),to-read,,,,0,0
2066511,Adaptation and Natural Selection: A Critique of Some Current Evolutionary Thought,George C. Williams,"Williams, George C.",,"=""0691023573""","=""9780691023571""",0,4.23,Princeton University Press,Paperback,320,1974,1966,,2024/05/07,to-read,to-read (#45),to-read,,,,0,0
28514478,Who Rules the World? (American Empire Project),Noam Chomsky,"Chomsky, Noam",,"=""162779381X""","=""9781627793810""",0,4.05,Metropolitan Books/Henry Holt & Co. (NYC),Hardcover,320,2016,2014,,2024/05/06,to-read,to-read (#44),to-read,,,,0,0
49680197,Parasitic Mind: How Infectious Ideas Are Killing Common Sense,Gad Saad,"Saad, Gad",,"=""162157959X""","=""9781621579595""",0,3.95,Regnery Publishing,Hardcover,264,2020,2020,,2024/05/05,to-read,to-read (#43),to-read,,,,0,0
1103849,O Homem Duplicado,José Saramago,"Saramago, José",,"=""""","=""""",0,3.96,Editorial Caminho,Paperback,318,2002,2002,2024/05/03,2024/03/01,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0143039954""","=""9780143039952""",0,3.81,Penguin Classics ,Paperback,541,2006,-700,,2024/04/30,to-read,to-read (#42),to-read,,,,0,0
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465067107""","=""9780465067107""",0,4.15,Basic Books,Paperback,257,2002,1988,,2024/04/29,to-read,to-read (#41),to-read,,,,0,0
23257776,Birth of a Theorem: A Mathematical Adventure,Cédric Villani,"Villani, Cédric",Malcolm DeBevoise,"=""0374710236""","=""9780374710231""",0,3.81,"Farrar, Straus and Giroux",Kindle Edition,273,2015,2012,,2024/04/28,to-read,to-read (#40),to-read,,,,0,0
38651604,The Ape that Understood the Universe: How the Mind and Culture Evolve,Steve Stewart-Williams,"Stewart-Williams, Steve",,"=""1108425046""","=""9781108425049""",4,4.24,Cambridge University Press,Hardcover,378,2018,2018,2024/04/28,2024/02/28,,,read,,,,1,0
44003336,Sete Cartas a um Jovem Filósofo - Seguidas de Outros Documentos para o Estudo de José Kertchy Navarro,Agostinho da Silva,"Silva, Agostinho da",,"=""9727062172""","=""9789727062171""",0,4.19,Ulmeiro,Paperback,124,1997,1993,2024/04/24,2024/03/20,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",0,4.12,Ember,Paperback,208,2006,1993,,2024/04/24,to-read,to-read (#39),to-read,,,,0,0
30901098,Como Não Errar - O Poder do Pensamento Matemático do Dia a Dia,Jordan Ellenberg,"Ellenberg, Jordan",,"=""9897542531""","=""9789897542534""",0,3.95,Marcador,Paperback,456,2016,2014,,2024/04/21,currently-reading,currently-reading (#2),currently-reading,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2024/04/15,to-read,to-read (#38),to-read,,,,0,0
19390,Philosophical Dictionary,Voltaire,"Voltaire, Voltaire",Theodore Besterman,"=""014044257X""","=""9780140442571""",0,4.06,Penguin Classics,Paperback,400,1984,1764,,2024/04/15,to-read,to-read (#37),to-read,,,,0,0
13014364,Bichos,Miguel Torga,"Torga, Miguel",,"=""""","=""""",0,3.83,Coimbra Editora,Paperback,135,1985,1940,2024/04/08,2024/03/17,,,read,,,,1,0
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172002""","=""9781982172008""",0,4.43,Scribner,Hardcover,464,2022,2022,2024/02/05,2023/12/10,,,read,,,,1,0
54121,Ensaio Sobre a Cegueira,José Saramago,"Saramago, José",,"=""9722110217""","=""9789722110211""",4,4.17,Editorial Caminho,Paperback,310,1998,1995,,2023/10/09,,,read,,,,1,0
30527686,Narciso e Goldmund,Hermann Hesse,"Hesse, Hermann",,"=""9722059688""","=""9789722059688""",4,4.22,Publicações Dom Quixote,Paperback,356,2016,1930,2024/02/26,2024/02/18,,,read,,,,1,0
34342016,Elastic: Flexible Thinking in a Time of Change,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0147521947""","=""9780147521941""",4,3.89,Random House Audio Publishing Group,Audio CD,,2018,2018,2024/04/04,2024/03/09,,,read,,,,1,0
43889703,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,"Zuckerman, Gregory",,"=""0241309727""","=""9780241309728""",4,4.04,Portfolio Penguin,Paperback,359,2019,2019,,2023/10/09,,,read,,,,1,0
61089520,The Man from the Future: The Visionary Ideas of John von Neumann,Ananyo Bhattacharya,"Bhattacharya, Ananyo",,"=""1324050500""","=""9781324050506""",0,4.11,W. W. Norton & Company,Paperback,368,2023,2021,,2024/04/03,to-read,to-read (#36),to-read,,,,0,0
12075,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,"Wittgenstein, Ludwig","David Pears, Brian McGuinness, Bertrand Russell","=""0415254086""","=""9780415254083""",0,4.09,Routledge Classics,Paperback,142,2001,1921,,2024/03/26,to-read,to-read (#35),to-read,,,,0,0
